Name;Birth Year;Death Year;Reign Start;Reign End
Gorm den Gamle;ca_900;ca_958;936;958
Harald Blaatand;ca_958;ca_986;958;986
Svend Tveskaeg;ca_960;1014;986;1014
Knud den Store;995;1035;1018;1035
Hardeknud;1018;1042;1035;1042
Magnus den Gode;1024;1047;1042;1047
Svend Estridsen;1020;1076;1047;1076
Harald Hen;1040;1080;1076;1080
Knud den Hellige;1042;1086;1080;1086
Oluf Hunger;1050;1095;1086;1095
Erik Ejegod;1060;1103;1095;1103
Niels;1065;1134;1104;1134
Erik Emune;1090;1137;1134;1137
Erik Lam;1120;1146;1137;1146
Svend Grathe;1125;1157;1146;1157
Valdemar den Store;1131;1182;1157;1182
Knud VI;1163;1202;1182;1202
Valdemar Sejr;1170;1241;1202;1241
Erik Plovpenning;1216;1250;1241;1250
Abel;1218;1252;1250;1252
Christoffer I;1219;1259;1252;1259
Erik Klipping;1249;1286;1259;1286
Erik Menved;1274;1319;1286;1319
Christoffer II;1276;1332;1319;1326
Valdemar III;1314;1364;1326;1329
Valdemar Atterdag;1320;1375;1340;1375
Oluf II;1370;1387;1376;1387
Margrethe I;1353;1412;1387;1412
Erik af Pommern;1382;1459;1412;1439
Christoffer af Bayern;1416;1448;1439;1448
Christian I;1426;1481;1448;1481
Hans;1455;1513;1481;1513
Christian II;1481;1559;1513;1523
Frederik I;1471;1533;1523;1533
Christian III;1503;1559;1533;1559
Frederik II;1534;1588;1559;1588
Christian IV;1577;1648;1588;1648
Frederik III;1609;1670;1648;1670
Christian V;1646;1699;1670;1699
Frederik IV;1671;1730;1699;1730
Christian VI;1699;1746;1730;1746
Frederik V;1723;1766;1746;1766
Christian VII;1749;1808;1766;1808
Frederik VI;1768;1839;1808;1839
Christian VIII;1786;1848;1839;1848
Frederik VII;1808;1863;1848;1863
Christian IX;1818;1906;1863;1906
Frederik VIII;1843;1912;1906;1912
Christian X;1870;1947;1912;1947
Frederik IX;1899;1972;1947;1972
Margrethe II;1940;-;1972;2024
Frederik X;1968;-;2024;-
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
